Date,Close,Prediction,Confidence,True_Label,Correct_Pred,Model_Accuracy
2021-12-27,50701.44,1,0.73,0,0,0
2021-12-28,47543.74,1,0.7,0,0,0
2021-12-29,46464.66,1,0.6,1,1,33.33
2021-12-31,46216.93,1,0.55,1,1,50
2022-01-01,47722.65,0,0.87,0,1,60
2022-01-03,46446.1,0,0.51,0,1,66.67
2022-01-04,45832.01,1,0.68,0,0,57.14
2022-01-05,43451.13,0,0.93,0,1,62.5
2022-01-06,43082.31,1,0.63,0,0,55.56
2022-01-07,41566.48,0,0.57,0,1,60
2022-01-09,41864.62,1,0.64,0,0,54.55
2022-01-10,41822.49,0,0.77,1,0,50
2022-01-11,42729.29,1,0.64,1,1,53.85
2022-01-12,43902.66,1,0.6,0,0,50
2022-01-14,43059.96,1,0.5,1,1,53.33
2022-01-16,43071.66,1,0.55,0,0,50
2022-01-17,42201.62,0,0.55,0,1,52.94
2022-01-18,42352.12,1,0.61,0,0,50
2022-01-19,41660.01,0,0.63,1,0,47.37
2022-01-20,40680.91,0,0.96,0,1,50
2022-01-21,36445.31,1,0.89,0,0,47.62
2022-01-22,35071.42,0,0.8,0,1,50
2022-01-23,36244.55,1,0.78,0,0,47.83
2022-01-24,36660.35,1,0.81,1,1,50
2022-01-25,36958.32,1,0.57,1,1,52
2022-01-26,36809.34,1,0.72,0,0,50
2022-01-27,37160.1,1,0.69,0,0,48.15
2022-01-28,37716.56,1,0.56,1,1,50
2022-01-30,37881.76,1,0.55,1,1,51.72
2022-01-31,38466.9,1,0.57,1,1,53.33
2022-02-01,38694.59,1,0.73,0,0,51.61
2022-02-02,36896.36,1,0.79,0,0,50
2022-02-03,37311.61,1,0.72,1,1,51.52
2022-02-04,41574.25,1,0.81,1,1,52.94
2022-02-05,41382.59,1,0.61,1,1,54.29
2022-02-06,42380.87,1,0.61,1,1,55.56
2022-02-08,44042.99,1,0.77,1,1,56.76
2022-02-09,44372.72,1,0.63,1,1,57.89
2022-02-10,43495.44,1,0.58,0,0,56.41
2022-02-11,42373.73,1,0.77,1,1,57.5
2022-02-13,42053.66,0,0.67,0,1,58.54
2022-02-14,42535.94,1,0.63,1,1,59.52
2022-02-15,44544.86,0,0.91,0,1,60.47
2022-02-17,40515.7,0,0.64,0,1,61.36
2022-02-18,39974.44,0,0.57,1,0,60
